spotify_id,name,followers,popularity,genres,chart_hits
4q3ewBCX7sLwd24euuV69X,Bad Bunny,55669387,100,"['reggaeton', 'trap latino']","['us (76)', 'gb (1)', 'ar (91)', 'au (2)', 'at (5)', 'be (9)', 'bo (97)', 'br (1)', 'bg (5)', 'ca (15)', 'cl (106)', 'co (98)', 'cr (96)', 'cy (11)', 'cz (2)', 'dk (4)', 'do (110)', 'ec (97)', 'eg (3)', 'sv (102)', 'ee (6)', 'fi (5)', 'fr (6)', 'de (7)', 'gr (6)', 'gt (104)', 'hn (106)', 'hk (6)', 'hu (6)', 'is (4)', 'in (4)', 'id (1)', 'ie (4)', 'il (6)', 'it (15)', 'jp (2)', 'lv (6)', 'lt (11)', 'lu (19)', 'my (4)', 'mt (21)', 'mx (92)', 'ma (5)', 'nl (5)', 'nz (1)', 'ni (105)', 'no (5)', 'pa (107)', 'py (105)', 'pe (101)', 'ph (2)', 'pl (1)', 'pt (19)', 'ro (5)', 'ru (1)', 'sa (4)', 'sg (4)', 'sk (5)', 'za (2)', 'kr (4)', 'es (101)', 'se (5)', 'ch (27)', 'tw (8)', 'th (2)', 'tr (1)', 'ua (2)', 'ae (11)', 'uy (95)', 'vn (1)', 'ad (16)']"
3TVXtAsR1Inumwj472S9r4,Drake,66852536,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']","['us (190)', 'gb (163)', 'ar (18)', 'au (148)', 'at (97)', 'be (99)', 'bo (22)', 'br (31)', 'bg (125)', 'ca (179)', 'cl (20)', 'co (24)', 'cr (52)', 'cy (105)', 'cz (55)', 'dk (132)', 'do (116)', 'ec (17)', 'eg (37)', 'sv (26)', 'ee (115)', 'fi (59)', 'fr (106)', 'de (111)', 'gr (122)', 'gt (25)', 'hn (60)', 'hk (59)', 'hu (76)', 'is (154)', 'in (11)', 'id (26)', 'ie (140)', 'il (60)', 'it (63)', 'jp (15)', 'lv (111)', 'lt (113)', 'lu (117)', 'my (58)', 'mt (80)', 'mx (22)', 'ma (53)', 'nl (137)', 'nz (145)', 'ni (27)', 'no (94)', 'pa (82)', 'py (19)', 'pe (17)', 'ph (40)', 'pl (57)', 'pt (130)', 'ro (72)', 'ru (13)', 'sa (39)', 'sg (65)', 'sk (93)', 'za (73)', 'kr (30)', 'es (31)', 'se (93)', 'ch (138)', 'tw (38)', 'th (19)', 'tr (32)', 'ua (13)', 'ae (59)', 'uy (19)', 'vn (17)', 'ad (1)']"
06HL4z0CvFAxyc27GXpf02,Taylor Swift,58554324,94,['pop'],"['us (136)', 'gb (115)', 'ar (24)', 'au (110)', 'at (36)', 'be (54)', 'bo (12)', 'br (40)', 'bg (49)', 'ca (121)', 'cl (11)', 'co (16)', 'cr (28)', 'cy (43)', 'cz (28)', 'dk (39)', 'do (14)', 'ec (11)', 'eg (26)', 'sv (32)', 'ee (61)', 'fi (31)', 'fr (9)', 'de (29)', 'gr (32)', 'gt (15)', 'hn (27)', 'hk (93)', 'hu (41)', 'is (25)', 'in (44)', 'id (40)', 'ie (123)', 'il (23)', 'it (10)', 'jp (27)', 'lv (38)', 'lt (33)', 'lu (37)', 'my (114)', 'mt (24)', 'mx (20)', 'ma (9)', 'nl (33)', 'nz (109)', 'ni (28)', 'no (44)', 'pa (23)', 'py (15)', 'pe (14)', 'ph (136)', 'pl (20)', 'pt (54)', 'ro (29)', 'ru (3)', 'sa (51)', 'sg (127)', 'sk (26)', 'za (60)', 'kr (16)', 'es (17)', 'se (31)', 'ch (27)', 'tw (73)', 'th (74)', 'tr (15)', 'ua (3)', 'ae (98)', 'uy (44)', 'vn (84)']"
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,49387909,93,"['canadian contemporary r&b', 'canadian pop', 'pop']","['us (81)', 'gb (74)', 'ar (23)', 'au (76)', 'at (61)', 'be (68)', 'bo (46)', 'br (41)', 'bg (83)', 'ca (83)', 'cl (29)', 'co (39)', 'cr (46)', 'cy (62)', 'cz (65)', 'dk (76)', 'do (62)', 'ec (36)', 'eg (38)', 'sv (42)', 'ee (78)', 'fi (68)', 'fr (66)', 'de (64)', 'gr (76)', 'gt (44)', 'hn (56)', 'hk (61)', 'hu (71)', 'is (77)', 'in (22)', 'id (26)', 'ie (74)', 'il (34)', 'it (54)', 'jp (12)', 'lv (71)', 'lt (75)', 'lu (64)', 'my (69)', 'mt (54)', 'mx (48)', 'ma (36)', 'nl (71)', 'nz (73)', 'ni (43)', 'no (78)', 'pa (61)', 'py (18)', 'pe (25)', 'ph (38)', 'pl (67)', 'pt (74)', 'ro (48)', 'ru (13)', 'sa (38)', 'sg (69)', 'sk (76)', 'za (38)', 'kr (24)', 'es (32)', 'se (75)', 'ch (74)', 'tw (47)', 'th (28)', 'tr (53)', 'ua (16)', 'ae (43)', 'uy (26)', 'vn (30)', 'ad (5)']"
6KImCVD70vtIoJWnq6nGn3,Harry Styles,23284667,91,['pop'],"['us (35)', 'gb (35)', 'ar (23)', 'au (35)', 'at (24)', 'be (22)', 'bo (20)', 'br (23)', 'bg (32)', 'ca (35)', 'cl (19)', 'co (20)', 'cr (21)', 'cy (25)', 'cz (29)', 'dk (20)', 'do (18)', 'ec (19)', 'eg (17)', 'sv (21)', 'ee (35)', 'fi (24)', 'fr (15)', 'de (18)', 'gr (30)', 'gt (18)', 'hn (20)', 'hk (16)', 'hu (31)', 'is (30)', 'in (6)', 'id (9)', 'ie (35)', 'il (17)', 'it (20)', 'jp (4)', 'lv (34)', 'lt (35)', 'lu (21)', 'my (23)', 'mt (22)', 'mx (21)', 'ma (7)', 'nl (21)', 'nz (35)', 'ni (20)', 'no (21)', 'pa (19)', 'py (19)', 'pe (19)', 'ph (20)', 'pl (34)', 'pt (35)', 'ro (21)', 'ru (1)', 'sa (18)', 'sg (21)', 'sk (33)', 'za (18)', 'kr (17)', 'es (20)', 'se (21)', 'ch (21)', 'tw (8)', 'th (5)', 'tr (4)', 'ua (3)', 'ae (22)', 'uy (20)', 'vn (6)', 'ad (1)']"
3Nrfpe0tUJi4K4DXYWgMUX,BTS,54532917,91,"['k-pop', 'k-pop boy group']","['us (55)', 'gb (32)', 'ar (30)', 'au (32)', 'at (30)', 'be (17)', 'bo (54)', 'br (31)', 'bg (77)', 'ca (49)', 'cl (32)', 'co (35)', 'cr (34)', 'cy (34)', 'cz (22)', 'dk (13)', 'do (30)', 'ec (34)', 'eg (44)', 'sv (60)', 'ee (69)', 'fi (38)', 'fr (10)', 'de (16)', 'gr (65)', 'gt (34)', 'hn (48)', 'hk (84)', 'hu (34)', 'is (9)', 'in (55)', 'id (99)', 'ie (13)', 'il (10)', 'it (8)', 'jp (100)', 'lv (52)', 'lt (74)', 'lu (27)', 'my (111)', 'mt (21)', 'mx (23)', 'ma (53)', 'nl (10)', 'nz (28)', 'ni (64)', 'no (14)', 'pa (40)', 'py (37)', 'pe (59)', 'ph (90)', 'pl (50)', 'pt (43)', 'ro (68)', 'ru (31)', 'sa (54)', 'sg (103)', 'sk (40)', 'za (23)', 'kr (96)', 'es (8)', 'se (13)', 'ch (12)', 'tw (91)', 'th (102)', 'tr (39)', 'ua (26)', 'ae (47)', 'uy (32)', 'vn (148)', 'ad (1)']"
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,18170307,91,"['chicago rap', 'rap']","['us (89)', 'gb (84)', 'ar (3)', 'au (81)', 'at (42)', 'be (52)', 'bo (4)', 'br (8)', 'bg (65)', 'ca (83)', 'cl (2)', 'co (3)', 'cr (12)', 'cy (45)', 'cz (29)', 'dk (74)', 'do (20)', 'ec (3)', 'eg (20)', 'sv (3)', 'ee (66)', 'fi (48)', 'fr (43)', 'de (45)', 'gr (54)', 'gt (3)', 'hn (10)', 'hk (26)', 'hu (43)', 'is (84)', 'in (2)', 'id (9)', 'ie (80)', 'il (38)', 'it (27)', 'jp (9)', 'lv (69)', 'lt (65)', 'lu (53)', 'my (22)', 'mt (28)', 'mx (4)', 'ma (34)', 'nl (50)', 'nz (77)', 'ni (4)', 'no (65)', 'pa (14)', 'py (3)', 'pe (3)', 'ph (10)', 'pl (43)', 'pt (54)', 'ro (51)', 'ru (14)', 'sa (15)', 'sg (32)', 'sk (54)', 'za (42)', 'kr (28)', 'es (7)', 'se (59)', 'ch (61)', 'tw (14)', 'th (6)', 'tr (12)', 'ua (13)', 'ae (42)', 'uy (3)', 'vn (7)']"
7dGJo4pcD2V6oG8kP0tJRR,Eminem,59184634,90,"['detroit hip hop', 'hip hop', 'rap']","['us (78)', 'gb (72)', 'ar (7)', 'au (64)', 'at (61)', 'be (48)', 'bo (8)', 'br (10)', 'bg (73)', 'ca (73)', 'cl (5)', 'co (7)', 'cr (15)', 'cy (62)', 'cz (54)', 'dk (54)', 'do (12)', 'ec (8)', 'eg (32)', 'sv (8)', 'ee (63)', 'fi (70)', 'fr (48)', 'de (68)', 'gr (62)', 'gt (8)', 'hn (9)', 'hk (24)', 'hu (58)', 'is (47)', 'in (9)', 'id (7)', 'ie (63)', 'il (38)', 'it (39)', 'jp (5)', 'lv (64)', 'lt (58)', 'lu (56)', 'my (21)', 'mt (53)', 'mx (8)', 'ma (34)', 'nl (54)', 'nz (66)', 'ni (6)', 'no (68)', 'pa (8)', 'py (6)', 'pe (2)', 'ph (10)', 'pl (28)', 'pt (54)', 'ro (50)', 'ru (2)', 'sa (39)', 'sg (24)', 'sk (60)', 'za (25)', 'es (7)', 'se (62)', 'ch (71)', 'tw (15)', 'th (7)', 'tr (31)', 'ua (4)', 'ae (29)', 'uy (5)', 'vn (13)']"
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,65590075,90,"['canadian pop', 'pop']","['us (58)', 'gb (51)', 'ar (29)', 'au (54)', 'at (44)', 'be (46)', 'bo (23)', 'br (32)', 'bg (40)', 'ca (62)', 'cl (25)', 'co (25)', 'cr (27)', 'cy (31)', 'cz (39)', 'dk (66)', 'do (32)', 'ec (26)', 'eg (11)', 'sv (27)', 'ee (42)', 'fi (46)', 'fr (27)', 'de (42)', 'gr (34)', 'gt (28)', 'hn (29)', 'hk (50)', 'hu (41)', 'is (64)', 'in (17)', 'id (24)', 'ie (45)', 'il (14)', 'it (33)', 'jp (17)', 'lv (33)', 'lt (38)', 'lu (45)', 'my (55)', 'mt (28)', 'mx (26)', 'ma (17)', 'nl (56)', 'nz (53)', 'ni (23)', 'no (57)', 'pa (39)', 'py (27)', 'pe (21)', 'ph (39)', 'pl (34)', 'pt (44)', 'ro (14)', 'ru (3)', 'sa (12)', 'sg (51)', 'sk (53)', 'za (29)', 'kr (27)', 'es (26)', 'se (48)', 'ch (53)', 'tw (43)', 'th (19)', 'tr (20)', 'ua (8)', 'ae (27)', 'uy (30)', 'vn (21)', 'ad (4)']"
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,102156853,90,"['pop', 'uk pop']","['us (52)', 'gb (83)', 'ar (36)', 'au (65)', 'at (59)', 'be (58)', 'bo (29)', 'br (43)', 'bg (60)', 'ca (63)', 'cl (33)', 'co (31)', 'cr (40)', 'cy (44)', 'cz (65)', 'dk (71)', 'do (30)', 'ec (28)', 'eg (14)', 'sv (32)', 'ee (82)', 'fi (61)', 'fr (39)', 'de (60)', 'gr (47)', 'gt (28)', 'hn (30)', 'hk (57)', 'hu (58)', 'is (62)', 'in (9)', 'id (29)', 'ie (90)', 'il (20)', 'it (42)', 'jp (24)', 'lv (63)', 'lt (65)', 'lu (63)', 'my (50)', 'mt (51)', 'mx (28)', 'ma (12)', 'nl (67)', 'nz (69)', 'ni (27)', 'no (64)', 'pa (36)', 'py (28)', 'pe (33)', 'ph (50)', 'pl (54)', 'pt (52)', 'ro (28)', 'ru (4)', 'sa (13)', 'sg (65)', 'sk (63)', 'za (33)', 'kr (17)', 'es (37)', 'se (75)', 'ch (68)', 'tw (59)', 'th (23)', 'tr (25)', 'ua (7)', 'ae (34)', 'uy (38)', 'vn (20)', 'ad (3)']"
